state,value
District of Columbia,100
Vermont,73
Montana,70
Maine,57
Idaho,56
Massachusetts,53
Delaware,53
New York,52
Nebraska,51
Washington,50
New Mexico,47
Maryland,47
New Jersey,46
Michigan,46
South Carolina,46
Alabama,45
Utah,44
Virginia,44
Minnesota,44
Pennsylvania,43
Illinois,43
New Hampshire,43
Oregon,42
Ohio,42
Iowa,41
Colorado,41
West Virginia,41
Mississippi,41
Connecticut,41
Indiana,40
North Carolina,40
North Dakota,40
Hawaii,39
California,39
Oklahoma,38
Rhode Island,37
Kansas,37
Tennessee,37
Wisconsin,37
Texas,37
Georgia,37
Louisiana,37
Florida,37
Arizona,36
Arkansas,35
Wyoming,34
Nevada,34
Missouri,32
Kentucky,31
South Dakota,24
Alaska,20
