state,value
New Mexico,100
District of Columbia,95
Oregon,79
Maine,75
Alaska,75
North Dakota,73
Colorado,73
Montana,71
Nebraska,67
Washington,66
Idaho,61
Utah,60
Hawaii,60
Ohio,58
California,56
Nevada,55
Arizona,54
Pennsylvania,53
New York,51
Iowa,49
Rhode Island,49
Kansas,49
Missouri,47
Michigan,46
Virginia,46
South Dakota,45
Florida,44
Wisconsin,44
Minnesota,43
Illinois,43
Texas,42
Vermont,42
Maryland,42
Delaware,41
Oklahoma,41
Indiana,41
New Hampshire,40
Massachusetts,40
Arkansas,40
Kentucky,39
Tennessee,38
North Carolina,38
Connecticut,37
New Jersey,37
Louisiana,37
South Carolina,35
Alabama,33
Georgia,30
West Virginia,29
Mississippi,29
Wyoming,21
