state,value
West Virginia,100
Vermont,96
Kentucky,89
North Dakota,85
Alabama,84
New Hampshire,83
Wisconsin,83
Maine,82
Missouri,81
Mississippi,80
South Carolina,79
Tennessee,78
Iowa,78
District of Columbia,76
Nebraska,76
Delaware,75
South Dakota,75
Virginia,75
Minnesota,74
New Mexico,74
Pennsylvania,72
Kansas,71
Idaho,71
Arkansas,71
Ohio,71
North Carolina,70
Michigan,70
Georgia,70
Louisiana,68
Indiana,68
Oklahoma,67
Utah,66
Montana,66
Maryland,66
Oregon,66
Washington,64
Illinois,64
Wyoming,64
Alaska,63
Connecticut,63
Rhode Island,62
Hawaii,61
Colorado,60
Arizona,60
Massachusetts,60
New York,60
California,56
Florida,56
Texas,55
New Jersey,54
Nevada,52
