food,state,value
pie,Idaho,85
pie,Illinois,77
pie,Indiana,82
pie,Iowa,84
pie,Kansas,82
pie,Kentucky,81
pie,Louisiana,82
pie,Maine,92
pie,Maryland,77
pie,Massachusetts,84
pie,Michigan,85
pie,Minnesota,78
pie,Mississippi,90
pie,Missouri,83
pie,Montana,93
pie,Nebraska,81
pie,Nevada,74
pie,New Hampshire,89
pie,New Jersey,73
pie,New Mexico,89
pie,New York,77
pie,North Carolina,80
pie,North Dakota,95
pie,Ohio,86
pie,Oklahoma,79
pie,Oregon,88
pie,Pennsylvania,84
pie,Rhode Island,78
pie,South Carolina,82
pie,South Dakota,75
pie,Tennessee,79
pie,Texas,69
pie,Utah,84
pie,Vermont,100
pie,Virginia,87
pie,Washington,84
pie,West Virginia,84
pie,Wisconsin,81
pie,Wyoming,79
pumpkin_pie,Alabama,33
pumpkin_pie,Alaska,75
pumpkin_pie,Arizona,54
pumpkin_pie,Arkansas,40
pumpkin_pie,California,56
pumpkin_pie,Colorado,73
pumpkin_pie,Connecticut,37
pumpkin_pie,Delaware,41
pumpkin_pie,District of Columbia,95
pumpkin_pie,Florida,44
pumpkin_pie,Georgia,30
pumpkin_pie,Hawaii,60
pumpkin_pie,Idaho,61
pumpkin_pie,Illinois,43
pumpkin_pie,Indiana,41
pumpkin_pie,Iowa,49
pumpkin_pie,Kansas,49
pumpkin_pie,Kentucky,39
pumpkin_pie,Louisiana,37
pumpkin_pie,Maine,75
pumpkin_pie,Maryland,42
pumpkin_pie,Massachusetts,40
pumpkin_pie,Michigan,46
pumpkin_pie,Minnesota,43
pumpkin_pie,Mississippi,29
pumpkin_pie,Missouri,47
pumpkin_pie,Montana,71
pumpkin_pie,Nebraska,67
pumpkin_pie,Nevada,55
pumpkin_pie,New Hampshire,40
pumpkin_pie,New Jersey,37
pumpkin_pie,New Mexico,100
pumpkin_pie,New York,51
pumpkin_pie,North Carolina,38
pumpkin_pie,North Dakota,73
pumpkin_pie,Ohio,58
pumpkin_pie,Oklahoma,41
pumpkin_pie,Oregon,79
pumpkin_pie,Pennsylvania,53
pumpkin_pie,Rhode Island,49
pumpkin_pie,South Carolina,35
pumpkin_pie,South Dakota,45
pumpkin_pie,Tennessee,38
pumpkin_pie,Texas,42
pumpkin_pie,Utah,60
pumpkin_pie,Vermont,42
pumpkin_pie,Virginia,46
pumpkin_pie,Washington,66
pumpkin_pie,West Virginia,29
pumpkin_pie,Wisconsin,44
pumpkin_pie,Wyoming,21
stuffing,Alabama,31
stuffing,Alaska,77
stuffing,Arizona,34
stuffing,Arkansas,30
stuffing,California,35
stuffing,Colorado,33
stuffing,Connecticut,62
stuffing,Delaware,33
stuffing,District of Columbia,46
stuffing,Florida,37
stuffing,Georgia,33
stuffing,Hawaii,55
stuffing,Idaho,38
stuffing,Illinois,39
stuffing,Indiana,38
stuffing,Iowa,24
stuffing,Kansas,52
stuffing,Kentucky,41
stuffing,Louisiana,32
stuffing,Maine,40
stuffing,Maryland,40
stuffing,Massachusetts,53
stuffing,Michigan,44
stuffing,Minnesota,41
stuffing,Mississippi,28
stuffing,Missouri,41
stuffing,Montana,24
stuffing,Nebraska,20
stuffing,Nevada,24
stuffing,New Hampshire,100
stuffing,New Jersey,39
stuffing,New Mexico,34
stuffing,New York,43
stuffing,North Carolina,37
stuffing,North Dakota,83
stuffing,Ohio,47
stuffing,Oklahoma,36
stuffing,Oregon,42
stuffing,Pennsylvania,54
stuffing,Rhode Island,50
stuffing,South Carolina,46
stuffing,South Dakota,50
stuffing,Tennessee,36
stuffing,Texas,30
stuffing,Utah,32
stuffing,Vermont,72
stuffing,Virginia,41
stuffing,Washington,40
stuffing,West Virginia,45
stuffing,Wisconsin,53
stuffing,Wyoming,18
turkey,Alabama,84
turkey,Alaska,63
turkey,Arizona,60
turkey,Arkansas,71
turkey,California,56
turkey,Colorado,60
turkey,Connecticut,63
turkey,Delaware,75
turkey,District of Columbia,76
turkey,Florida,56
turkey,Georgia,70
turkey,Hawaii,61
turkey,Idaho,71
turkey,Illinois,64
turkey,Indiana,68
turkey,Iowa,78
turkey,Kansas,71
turkey,Kentucky,89
turkey,Louisiana,68
turkey,Maine,82
turkey,Maryland,66
turkey,Massachusetts,60
turkey,Michigan,70
turkey,Minnesota,74
turkey,Mississippi,80
turkey,Missouri,81
turkey,Montana,66
turkey,Nebraska,76
turkey,Nevada,52
turkey,New Hampshire,83
turkey,New Jersey,54
turkey,New Mexico,74
turkey,New York,60
turkey,North Carolina,70
turkey,North Dakota,85
turkey,Ohio,71
turkey,Oklahoma,67
turkey,Oregon,66
turkey,Pennsylvania,72
turkey,Rhode Island,62
turkey,South Carolina,79
turkey,South Dakota,75
turkey,Tennessee,78
turkey,Texas,55
turkey,Utah,66
turkey,Vermont,96
turkey,Virginia,75
turkey,Washington,64
turkey,West Virginia,100
turkey,Wisconsin,83
turkey,Wyoming,64
